Tronc commun,,,Population,,,,,,,,,Mobilité,,,,,,,,,,Souhait,Evaluation de la démarche,,,
Pays de lumbres c'est quoi ?,Si autre Pays de Lumbres,Comment décrivez-vous ce territoire ?,Qu'est-ce qui attire les nouveaux habitants ?,Pourquoi ?,Quelle raison villes éloignées ?,Etes-vous satisfait de l'offre santé ?,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,"Voiture, qu'en pensez vous ?",Transports en commun,Commentaire,Vélo,Commentaire,Marche à pied,Commentaire,Covoiturage,Commentaire,Pourquoi ?,"Si vous aviez une baguette magique, qu'est-ce que vous changeriez sur le territoire ?",,Si oui comment ?,Si autre moyen,Que pensez-vous de cette démarche de concertation ?
Je ne sais pas,,C'est une ville active Lumbres. Je ne connais que Lumbres. Ville dortoire,La proximité de l'autoroute,Les gens veulent plus aménager à la campagne,Plus de zones constructibles,oui,,,On n'a qu'une bonne médiathèque mais pour le reste il faut aller sur St Omer,,,C'est logique,Non pas du tout,Impossible/ Condition d'emploi,Non pas du tout,Impossible,Je le fais déjà pour,"Aux commerces, poste, mairie ... ",Je le fais déjà pour,mon travail,,Ce qui manque à Lumbres un parc pour les enfants. Le plus proche Arcques/ St Omer,,,,"C'est bien, j'y suis habituée ça me semble logique"
Je ne sais pas,,"Il y a des jolies coins. C'est vert. Beaucoup de choses à visiter : les Moulins, randorail. Les chemins de rando à wavrans","Le calme, être loin de la ville",Peut être ça devient trop la ville. Et puis cette ville meurt --> plus de commerçants dans le centre,Les loyers moins chers. Ne pas être toujours dans la ville. On aime bien la tranquilité,oui,"Plus beaucoup de médecins veulent venir à domicile. Juste pour les personnes âgées. Médecins spécialisés, il faut se déplacer à St Omer","Il y a la gym adulte, enfant, senior. La marche, le foot, BMX, la piscine qui va être éloignée du centre. ","Médiathèque/bibliothèque. Il y avait un cinéma il y a 55 ans. Il y avait avant ""graine de C"" comme association : manque de population",Maintenant reedvenu. Les petits commerces ne tiendraient pas avec la présence de grandes surfaces. ,Bus de ramassage pour les personnes âgées pour les amener dans les grandes surfaces. ,Pas assez de bus,J'accepterais si,J'avais le bus pour aller de lumbres à Helfaut,J'aimerais mais,où en faire ? Il n'y a pas de pistes cyclables sécurisées,Je le fais déjà pour,avec le clubn au centre ou chez leclerc,J'aimerais mais,il n'y a pas assez d'offre,,"Couper les arbres auprès des habitations, ça gène. Les stationnements sur Lumbres : pas assez",,autre,Réunion d'info,"C'est bien, on est informé"
un territoire,,Il n'y a plus rien à Lumbres,Moins cher que sur les grands villages comme St Omer,"Il n'y a pas de travail, plus beaucoup de magasins à part les grandes surfaces",Ne sait pas,Pas vraiment,Pas vraiment de spécialistes,Ils sont améliorés : nouveaux terrains,Il n'y a rien pour les enfants. ,Plus de commerces de proximité que que des grandes surfaces. Plus de petits commerçants,,Les gens prennent la voiture pour tout. Alors que l'école est à 5 minutes,J'accepterais si,Pour les alentours,J'aimerais mais,Il n'y a pas de pistes,Je le fais déjà pour,mes balades,Non pas du tout,,,Redynamiser les commerces et la vie au village,,,,"C'est bien qu'on vienne nous voir, c'est rare qu'on demande notre avis"
un territoire,,Grand et rural,être proche des villes mais vivre à la campagne,Villes de moins en moins dynamiques,"Terrains, loyers moins chers",Pas vraiment,"Pas assez de spécialistes, il faut aller à St Omer",Sports différents pour les jeunes,Il faut aller à St Omer,En tout cas plus de petits commerces,,"Pas le choix, on n'a rien d'autre de vraiment développé et adapté",J'aimerais mais,Mais les horaires ne sont pas assez développées,J'aimerais mais,Ce n'est pas assez développé,Je le fais déjà pour,aller aux commerces,J'aimerais mais,à mes heures de travail ce n'est pas possible,,Développer d'avantage les activités pour les enfants et les jeunes surtout pendant les vacances,,,,C'est bien mais faudrait il en tenir vraiment compte
un territoire,,C'est bien comme territoire. Rural. ,"Plus convivial, ce n'est pas la ville. Les gens sont moins pressés, et les gens se parlent","Centre de Lumbres vide. Tout est délocalisé dans la zone. Plus de commerces, ça ne vit plus pareil. C'est moins accessible. Les personnes âgées ne peuvent pas aller dans la zone. ",Les prix des terrains au village moins chers,Pas du tout,C'est galère de trouver un médecin ,,Faut aller à St Omer-Boulogne. Cinéma à Lumbres ça serait bien ,,,On est obligé pour le travail ,Je le fais déjà pour,Pour aller à St Omer,Je le fais déjà pour,Aller au travail,Je le fais déjà pour,aller à mon travail,J'aimerais mais,il n'y a personne pour,c'est déjà bien,Le passage du réseau sur le territoire/fibre optique. --> ça ramenerait du monde. Les artisants voudraient s'installer mais pas de réseau ,,autre,Car je travaille à la piscine de Lumbres,C'est bien on a les avis de tout le monde
un territoire,,Bien / normal,Le calme,Pas d'idée,,oui,,"Une salle de muscu et un parc pour courrir, ça manque",Cinéma et salle de concert ça manque,,,Normal,Je le fais déjà pour,Aller à St Omer ligne 511,Je le fais déjà pour,Balades,Je le fais déjà pour,,Non pas du tout,,,Salle de muscu et le parc,,,,"Si c'est pris en compte, c'est bien "
Je ne sais pas,,"Agréable d'y vivre, 48 ans que j'y vis",Le calme et on a tout autour de nous / Commerces,pas beaucoup d'emplois à Lumbres. Le dimanche il n'y a rien tout est fermé,,Pas vraiment,Spécialistes faut aller à St Omer + Boulogne,"Manque de salle de muscu. Il y a le foot, olympique Lumbrois. Terrains de tennis",Manque d'un cinéma,"Plus de mercerie. Manque de commerces, habillement et chaussure",,Les gens sont habitués à prendre la voiture à St Omer prise en charge des entreprises 50% des transports,J'aimerais mais,"Plus de transports entre lumbres et St Omer, plus d'horaires 2H d'attente. Plus de lignes ou plutôt plus d'horaires",J'aimerais mais,C'est un peu dangereux. Pistes cyclables sur les grands axes,Je le fais déjà pour,Me balader,Non pas du tout,,X2 la taxe foncière,Attirer les actifs et les jeunes - mixité des personnes au conseil municipal,,,,Bien
un territoire,,"C'est bien, j'y vis depuis longtemps",La vie à la campagne,Moins dynamique,,Pas vraiment,,Trail et rando,,,,C'est normal,J'aimerais mais,Pas assez d'horaires Lumbres St Omer,Je le fais déjà pour,VTT Sport,Je le fais déjà pour,,Non pas du tout,,Il faut penser aux autres,Attirer les jeunes et les actifs,,,,C'est bien
un territoire,,"C'est pas mal, il y a plus de proximité entre les gens",Le calme. Les grandes surfaces amènent du monde,"C'est triste, il n'y a plus de commerces. Les gens vont à l'extérieur",,Pas du tout,,,Plus de commerces en centre ville à Lumbres,,Nielles,Normal,J'accepterais si,Il y en avait plus de navettes Lumbres St Omer,Non pas du tout,,Je le fais déjà pour,les courses,Non pas du tout,,,"Les supermarchés/les grandes surfaces tuent les petits commerces, il n'y a plus de communication entre les gens",,,,Bien
un territoire,,De plus en plus dynamique,"Nouveaux lieux : rando-rail, troti, station trail, visite, rando",L'inverse : moins en moins dynamique moins de commerces,Plus dynamique dans les petits villages que sur Lumbres,oui,Nous on va sur Alquines,Les enfants oui. Adultes il manque une piste d'athlé. Salle de sport plus overte. Fitness appareils muscu,Pas de cinéma. C'est à St Omer,A part le centre commercial,,"Développer les transports en commun, navettes --> lumbres st omer. Horaires plus larges",J'accepterais si,Navettes prix réduits pour St Omer,J'aimerais mais,pas de pistes cyclables,Je le fais déjà pour,les balades,Je le fais déjà pour,,,Parc pour se promener. Redynamiser Lumbres. Activités sur la place. Ils ont tout déporter ça fait plus vie de centre ville,,autre,Courrier reçu,Oui c'est bien. Ca évite de créer des choses inutiles mais on se demande si on va nous écouter
autre,Une communauté de commune et un regroupement de 36 communes,"C'est beau, on a des beaux paysages","C'est beaucoup la campagne, le calme",Ne sait pas,J'aurais pensé l'inverse,oui,,,,,,C'est normal il n'y a pas de réseau de transport en commun,J'aimerais mais,A quelmes il n'y a pas de réseaux de bus,Je le fais déjà pour,promenades,Je le fais déjà pour,promenades,Je le fais déjà pour,avec des amis,,Les transports à développer,,,,C'est bien 
un regroupement de 36 communes,,C'est calme,La tranquilité et qu'ils aiment la campagne,Pour le travail peut être,Les terrains sont peut être plus abordable niveau tarifs,oui,,"A Tournhem, il y a un complexe sportif donc proche de Bonninques",A Bonninques il y a une ludothèque,Il y a qu'une boucherie avant il y avait 6 cafés dans 1 village et maintenant il n'y en a plus qu'un seul,,"On est obligé d'en avoir une, pour se déplacer pour aller travailler déjà. A vélo à 30 Km du travail, ça fait loin. ",J'accepterais si,Il y avait 1 ligne --> St Omer --> Calais,Je le fais déjà pour,mes balades,Je le fais déjà pour,"mes balades, randi 1 fois / mois dans Bonninques c'est organisé. ",Je le fais déjà pour,Aller au travail je prends quelqu'un,Ca ferait venir les gens,NSP,,,,Ca peut être pratique
Je ne sais pas,,"Il est humide, très vallonné. Il y a des bois, verdoyant","C'est l'axe routier, axe rapide/autoroute",Les gens recherchent les petits villages la tranquilité et les terrains pas chers,peut être beaucoup qui travaillent. ,oui,,Surtout sur Lumbres. Beaucoup centralisé,Nous on a une médiathèque,Il font tout pour que les petits commerces disparaissent. C'est le gros problème,,"C'est un peu logique que tout le monde ait une voiture, pour le travail. Avant il y avait le système des bus mais ça a été supprimé",Non pas du tout,,Je le fais déjà pour,pour le plaisir,Je le fais déjà pour,le plaisir,J'aimerais mais,ce n'est pas évident à trouver,"Dans le village il y en a déjà assez. ""le social c'est bien mais oon a fini de donner""",Essayer de réduire l'implantation de grosses zones commerciales qui tuent les petits commerçants,,autre,Par réunion d'information,"Moi, je n'y crois pas trop"
Je ne sais pas,,C'est en pleine camapgne. C'est à côté de Lumbres,"C'est calme. C'est la campagne, ce n'est pas la ville","Quand on vient de Boulogne, il n'y a pas directement accès à Lumbres, il n'y a pas de bretelle. A Lumbres, il n'y a plus rien. Sur la grand place il n'y a plus rien, il faut aller sur la zone",Mais ils se rapprochent de Boulogne,oui,,,Faut toujours aller à St Omer ou à Boulogne. Ca serait mieux si c'était plus près,Ils vont faire 1 magasin de bricolage à Lumbres. Pas de magasins d'habillement et de bricolage et d'élétroménager,,"On est obligé, on n'a pas de transport pas de bus. C'est une obligation. Moi je travaille à Ariques par exemple. ",J'aimerais mais,il faudrait qu'il y en ait. De la commune alquines à Lumbres,J'aimerais mais,mais ça monte trop,Je le fais déjà pour,le village et les promenades,J'aimerais mais,à voir. Peut être mais il y a beaucoup d'aires de covoiturage,,Améliorer l'accès à la rocade direction boulogne. Surtout ne pas mettre la RN42 en autoroute,,,,C'est bien
Une communauté de communes,Un regroupement de 36 communes,Il faut le conserver dans l'état qu'il est là. C'est beau. Il faut essayer de garder la ruralité. ,C'est la tranquilité qu'ils veulent,Tarif plus élevé pour bâtir. Dans notre zone ils ont tout fait pour accueillir les gens. A Lumbres ils ont tout fait pour accueillir les vieux,"Ils veulent se reculer des villes, avec la tranquilité. ",Pas vraiment,"Faire venir plus de médecins à Nielles, la maison médicale +",En faire plus c'est bien mais il faut en avoir accès. Est ce qu'il faut pas plutôt développer dans différents villages et pas tout regrouper à Lumbres ? ,Il faut qu'il y ait un suivi alors. Médiation ,Développer plus de commerce de proximité. Aider plus les petits commerçants,Faut ouvrir une crèche à Alquines,Si tous les villages avaient touts des magasins on ne se déplaceraient pas autant,J'aimerais mais,Il n'y a pas de service,J'aimerais mais,c'est compliqué faut voir les possibilité. Trop de distance,Je le fais déjà pour,"Aller au pain, boucherie, et les promenades",Je le fais déjà pour,aller à St Omer et Escoeuilles,Ca n'apporte rien à la commune. Ca ramène des cas sociaux qui ne travaillent pas. ,Baisser les impôts,,mairie,,C'est bien à condition de respecter les avis de chacun
Je ne sais pas,,Pas d'idées,La proximité des villes peut être ? ,"Ils partent à la campagne, les impôts sont moins chers",Ne sait pas,Pas vraiment,il faut faire plus. Des KM pour voir un spécialiste,,,A Alquines on est pas loin de Lumbres et il y a un peu tout à Lumbres,,A la campagne les gens s'ils veulent du travail il faut avoir la voiture alors qu'en ville il y a les bus,J'aimerais mais,En partant d'Alquines il n'y a rien. A part les bus de lycée,Non pas du tout,,Je le fais déjà pour,aller au village,Non pas du tout,,,Les centres de santé à améliorer,,,,C'est bien d'avoir les opinions de tout le monde
un territoire,,Je suis né ici. Beau territoire bien vallonné,Le terrain à batîr,Ne sait pas,le prix du terrain moins cher,Pas vraiment,avoir accès à un médecin ici c'est pas facile,,il faut aller à St Omer ou à Boulogne,Les petits commerces ne survivent pas. ,,il n'y a pas moyen de faire autrement,Non pas du tout,,Non pas du tout,,Je le fais déjà pour,le village,Non pas du tout,,ça ne ramène pas les bonnes personnes,des petits commerces. A Alquines ça va encore mais dans les villages il n'y en a pas (Coulomby-quercamps),,,,Je doute que ça serve à quelque chose
,,"Un secteur vallonné, beau paysage et varié","On est au centre calais, boulogne, St Omer. On est proche de la mer. Par rapport au travail c'est limitrophe",L'usine/la cimenterie par rapport au fumé. Ca doit être remodernisé. Aspect gris de la ville,Prix du terrain/ maison et c'est bien déservit,Pas vraiment,"Pour les spécialistes in va soit sur Boulogne ou Lille. Mais pour beaucoup, trouver un médecine c'est compliqué",Il y a juste la piscine. Une salle de sport à Lumbres il n'y a pas un centre d'activité pleins. Ca serait bien. ,Le problème c'est qu'au village on n'est pas vraiment déservi,"A Alquines ca va. Boulangerie, épicerie, boucherie",Service pour ramassage pelouse/déchet vert,Si notre fille pouvait aller à St Omer ou même à Lumbres ou même pour aller à Lumbres,J'accepterais si,Il y avait une navette pour aller à Lumbres au moins 1 fois/semaine. Une journée dans la semaine mais pas avec réservation ,Je le fais déjà pour,faire nos balades,Je le fais déjà pour,des randos,J'aimerais mais,Il n'y a pas beaucoup de monde qui travaille aux mêmes horaires,"On a une mauvaise expérience dans le village --> vol, dégradation, difficultées à l'école","Navette à mettre en place au moins 1 fois/semaine pour les jeunes notamment pour aller faire du sport, aller se promener. Avant on pouvait se promener dans les villages facilement à vélo mais maintenant insécurité / beaucoup de circulation ",,,,C'est très bien et c'est rare.
Je ne sais pas,,Ecologiquement c'est bien beau et propre,La campagne plutôt que la ville,Pas mal de magasins fermés. LEs enfants grandissent et les parents suivent,Ne sait pas,Pas vraiment,C'est difficile de trouver un médecin traitant,"Bonninques : rando, vélo, foot, ping-pong, baskets",Manque de médiathèque,,,Il n'y a pas de bus qui désert partout. Ca serait plus pratique s'il y avait un bus qui amenerait à Lumbres et toutes les petites communes,J'aimerais mais,J'ai peur de me faire conduire par d'autres,J'aimerais mais,ca fait loin et c'est bien vallonné,Je le fais déjà pour,les loisirs,Non pas du tout,,Il n'y a plus de place dans notre commune mais refaire les anciennes maisons,je ne vois pas ce qu'il y a à changer,,,,C'est bien on peut donner notre avir
un regroupement de 36 communes,,C'est bien c'est près de tout pour tout,La famille qui habite ici et le travail,pour suivre ses enfants et le travail,la tranquilité,oui,"Il y en a pas mal. On a la clinique , l'hopital pas loin",,,ca manque à Esquerdes. Nous on est vraiment en dehors. Il y avait avant un marchant de fruit et de fromage,c'est capital,On est obligé d'avoir un véhicule. Il n'y a rien à proximité. ,J'accepterais si,1 jour j'ai un ouci oui. Aujourd'hui je suis sur pieds mais demain,J'aimerais mais,Je ne me sens pas en sécurité avec les camions et bus sur Lumbres. C'est dangereux. Je le fait pour mes balades mais j'ai eu des accidents. ,Je le fais déjà pour,7 KM avec mon chien ,Non pas du tout,,Je ne sais pas si on en a besoin à Esquerdes,J'espère qu'il y aura toujours la piscine à Lumbres et plus d'activités pour les jeunes,,,,C'est bien faut aller de l'avant s'ouvrir à beaucoup de choses
un regroupement de 36 communes,,différent de la ville,Le calme,Les magasins qui ont fermé,Pour se rapprocher des grandes surfaces,Pas vraiment,"Manque des dentistes, ophtalmo et médecins",,,Les petits commerces ça manque. Plus de magasins d'occasion et de rachat ça manque aussi ,Ca se développe tout doucement,Il y a des bus mais heures aléatoires. On n'a pas les horaires qu'il faut,J'aimerais mais,il manque le train ,Je le fais déjà pour,Mes détentes,Je le fais déjà pour,jardin extérieur et intérieur,Non pas du tout,,ça manque ! Loyer trop cher sur le territoire,"Un parc de jeu pour les enfants où se promener où on peut manger, se restaurer avec un bus .",,autre,l'atelier couture,Ca devrait même s'agrandir pour tous les projets
un regroupement de 36 communes,,"Je suis née là où j'habite aujourd'hui. Verdoyant, vallonné, campagnard, coloré au printemps",C'est les gens qui fuient la ville. Terrains moins chers. ,"Au niveau du travail, usine (cimenterie) --> gens partent travailler ailleurs. ",Moins cher pour construire,Pas vraiment,Moins bien qu'avant pour trouver des pro de la santé. Maintenant il faut aller aux urgences,"Il y a des asso qui organisent : club de marche, club de vélo.",Il faut aller à la ville aujourd'hui. Organiser des sorties par exemple culturelles,Les commerces disparaissent de plus en plus avec la zone Auchan. Ca ca manque les petits commerces,"Epauler plus les gens qui ont des personnes âgées à s'occuper dans le but de les maintenir chez eux. Chaque commune devraient avoir un service, heures en mairies consacrées aux gens pour les aider, les renseigner.","C'est des habitudes. Il faut faire évoluer les mentalités. Les autocars existaient avant pour nous amener au travail, à l'usine",J'accepterais si,Il y en avait aux horaires ,Je le fais déjà pour,loisirs et pour aller au village,Je le fais déjà pour,Loisir pour aller dans le village,J'aimerais mais,Il y a des aires de covoituravage mais elles ne sont pas à proximité d'où j'habite,Il y a déjà dans mon village,"Je pense aux jenes, pour les occuper car dans les villages il n'y a pas grand chose. La jeunesse s'ennuie dans les village et il faut toujours les conduire, aller les rechercher",,,,C'est bien d'aller au devant des gens. Il y a que comme ça qu'on peut avoir du concret et récolter des idées adaptées
autre,une ville,,"Les magasins, leclerc",L'eau est cher la taxe d'habitation et les impôts,Pareil,Pas vraiment,Trop d'attente pour avoir un rendez vous chez le médecin ,,pas grand chose,,,"Surprenant, beaucoup",Non pas du tout,Ce n'est pas pratique,Non pas du tout,,Je le fais déjà pour,la balade,Non pas du tout,,Beaucoup de monde recherche ce genre de logement,,,,,C'est bien si ça peut aider
autre,chef de canton,Territoire bien centré (par rapport aux villes Saint Omer - Calais - Boulogne),"Les supermarchés, hypermarchés. Pas loin de plages",Les gens partent pour des raisons d'emplois,,oui,,Des associations sportives,,Dommage que certains commerces ferment,,C'est bien de pouvoir garder son indépendance,Non pas du tout,,Non pas du tout,,Je le fais déjà pour,Le bien être,Je le fais déjà pour,Aller au club des aînés,"Je ne sais pas s'il y a encore des terrains de dispos, ça permet à la ville de Lumbres d'avoir de nouveaux habitants",,,,,Très bien
Je ne sais pas,,"Beau territoire, il y a de tout. ",Lumbres est une ville accueillante avec tout à proximité. ,,C'est plus agréable d'être éloigné de la villes avec toutes les choses aux alentours,Pas vraiment,"Il manque des médecins et ophtalmo, ils partent. L'état devrait donner des avantages aux médecins qui s'installent à la campagne. Inciter les jeunes",Beaucoup d'asso à Lumbres,,"Il manque des restos, il y a rien , un brasserie. ",,"Tout est assez éloigné, il y aurait plus de choses autour de la place ce ne serait pas le cas. ",Non pas du tout,,Je le fais déjà pour,,J'aimerais mais,pas le temps,J'accepterais si,Je trouve quelqu'un que je connais qui va au même endroit,"MAis il y a trop d'aides, trop de social en France. A Lumbres il y en a déjà pas mal ",Plus de travail pour les jeunes,,,,C'est bien 
autre,Plusieurs Villes,Beau territoire,"Le fait que ce soit bien desservis avec le bus, calme, pas de violence, ni de délinquance, reposant --> moyenne d'âge, pas jeune. ","Beaucoup de commerces ont fermés, rien à part le leclerc et super U. Pas d'activité pour les jeunes et pas de bus dans Lumbres. Niveau politique, pas de choix. ",,oui,,"Il n'y a qu'un terrain de foot pas entretenu. Autres terrains, il faut être licencié du club",Médiathèque bien mais il n'y a que ça. ,Ils ferment,,Sur Lumbres il n'y a plus de bus pour l'école donc pas surprenant. Le pays de Lumbres n'est pas bien desservis. ,Je le fais déjà pour,Aller à St Omer et en cours,J'aimerais mais,je n'en ai pas et il n'y a rien à faire à proximité. ,Je le fais déjà pour,"Me déplacer dans Lumbres, les commerces ne sont pas éparpillés c'est bien. ",J'aimerais mais,pas le permis pour le moment,Ca peut servir mais pour les gens en difficultés. Pas ceux qui profitent mais pas la priorité,Plus d'équipement et d'événements pour les jeunes,,,,Ca permet de donner son avis
Je ne sais pas,,"Dynamique pour une ville comme Lumbres, commerces, animation ",,"Les taxes, l'eau est très chère par rapport aux villages alentours",Le travail,oui,"Beaucoup de corps de métier, différents professionnels (psy, dentiste, ortho...)",Beaucoup de choix,,Grâce aux grandes surfaces mais dommage que les petits commerces du centre ouvrent et ferment souvent,Vous trouvez ce dont vous avez besoin même sans le permis On peut tout faire sur Lumbres,Plutôt culturel. On a l'habitude et c'est plus pratique que prendre le bus qui ne passe pas assez,J'accepterais si,Il y avait plus de fréquence (plus qu'un bus / heure). Mieux desservis en termes d'horaires,Je le fais déjà pour,les balades,Je le fais déjà pour,les balades ou choses dans le coin et selon les enfants,J'aimerais mais,je ne trouve pas sur les sites classiques. Il n'y a pas d'offres dans le coin ,"Parce qu'il y a beaucoup de demandes, beaucoup d'attentes. Sans garantis de caution c'est compliqué. A Lumbres, c'est très cher de trouver. ",Vivre plus comme dans les grandes villes au niveau des transports en commun. Même pour les enfants/ados qu'ils puissent être indépendants. ,,,,"Vraiment bien, ça permet de réfléchir sur ce qu'on veut changer et de se faire entendre"
un territoire,,"Agréable, petite ville","Le calme, les terrains ","C'est cher. Les maisons sont chères, les taxes. Les villages à côté sont plus abordables ",Justement pour les prix,Pas vraiment,Il y a de l'attente et pas tous les services. Il faut aller sur St Omer pour les spécialistes,,,"Il n'y a plus grand chose. Il faut aller dans la zone commerciale qui est elle aussi petite (pas de magasins de vêtements, ou de bricolage...)",, Ce n'est pas surprenant,J'aimerais mais,Ca ne dessert que les grandes villes. Je ne peux pas rendre visite à la famille à côté sans voiture,Je le fais déjà pour,Loisirs,Je le fais déjà pour,,J'aimerais mais,Je ne pense pas que ça irait avec mon rythme de vie,Ca aide. On ne peut pas tous avoir des choses confortables avec les enfants sans certaines aides. Ca permet d'avoir de bonnes bases,"Ce serait que Le petit Audormois (magazine) paraissent de nouveau. Ca informe des choses à faire, c'était bien. Maintenant on ne sait plus pour les activités des enfants ou les sorties",,,,"Super de pouvoir s'exprimer, parler avec vous pour que vous le fassiez remonter"
Une communauté de communes,,"Naturel, agréable, arboré","L'envie d'être à la campagne, d'avoir de l'espace (chez soi et à l'extérieur). ","Le centre ville n'est plus vivant. Les grandes surfaces détruisent les petits commerçants, le marché est de plus en plus petits, les jeunes ne viennent pas. ","Avoir de l'espace, la campagne puisqu'il n'y a plus d'intérêt à être en ville pour les commerces",Pas vraiment,Je vais à St Omer,,"Je vais à St Omer, il n'y a que la médiathèques ici ou des petites choses d'organisées par les asso locales","Ca ferme, personne ne veut installer sa boutique ici",,Ce n'est pas étonnant,J'aimerais mais,Ce n'est pas toujours très pratique ou adapté aux horaires,Je le fais déjà pour,venir au marché ou me balader,Je le fais déjà pour,pareil (s'il fait beau),J'aimerais mais,Il n'y a pas forcément d'offres sur le territoires (pour St Omer ou Boulogne),Pour attirer de nouveaux habitants et faire vivre le centre. Des Jeunes,"Qu'il soit plus vivant, que les gens aient des activités pour sortir, se retrouver, discuter, comme on le fait au marché. Il ne faut pas que ça meurt",,,,J'espère que ça sera utile
Je ne sais pas,,"Pas beaucoup d'industries, nous nous plaisons à habiter. Les gens sont sympas. Valloné, très beau. Beaucoup de circuits pédestres.  ",Maison moins chères que dans le Nord. Site plus agréable que dans le plat pays. Beaucoup de commerces de proximité (St Omer). Le travail,,"Peut être parce que les gens travaillent plus sur Lille, plus de possibilité. Les jeunes préfèrent les grandes villes",oui,,Beaucoup de complexes sportifs. Rando et vélo,,,,"On ne peut plus faire sans voiture. PAs de voiture, pas de travail",J'accepterais si,Les horaires étaient adaptées pour le travail,J'aimerais mais,C'est trop loin,Je le fais déjà pour,"La balade, les commerces. Jusqu'à 4-5 Km",Non pas du tout,,"Si ça aide les gens, permet d'avoir un logement correct","Une crèche à Lumbres ! Et plus d'emplois, emplois aidés pour les jeunes. Emploi pour aider son prochain. Baisser les charges des commerçant pour favoriser l'embauche",,,,"C'est bien. Ca permet de s'exprimer, d'échanger"
Je ne sais pas,,Territoire agréable,Se rapprocher du travail,Parce que les magasins ,La tranquilité,oui,Mais ça risque de venir parce que les médecins partent en retraite et le dimanche pas de médecins,,Il faut aller à St Omer,"Tout ferme, feurs, légumes... à cause des supermarchés",,C'est beaucoup mais pas surprenant,Non pas du tout,,Non pas du tout,Plus possible avec l'âge,Je le fais déjà pour,LA balade puisqu'il n'y a plus de petits commerces,Je le fais déjà pour,Les courses avec les voisins,Mais en faisant attention à l'attribution,"Du soleil, des commerces de proximité",,,,Bien ça donne des idées
Je ne sais pas,,Calme,"La tranquilité, maisons plus abordables qu'en ville",peu de commerces,"la tranquilité, le calme et plus agréable pour les enfants",Ne se prononce pas,Sur St Omer,,,Il en faudrait plus,,Pour sortir de Lumbres c'est bien mais dans Lumbres on peut être à pieds,Non pas du tout,pas adapté pour le travail,Je le fais déjà pour,Les promenades,Je le fais déjà pour,les balades,Non pas du tout,Pas adapté pour le travail,Pour les dégradations,,,,,Ca ne peut apporter que des améliorations par rapport au village si c'est suivi. 
autre,Lumbres et ses alentours,De beaux coins,Moins cher que la ville,Ils préfèrent l'esprit campagne,Pareil,Pas vraiment,Pas grand chose,,,,,Pas le choix,Non pas du tout,Horaires,J'aimerais mais,pas le temps,Je le fais déjà pour,pour les balades,Je le fais déjà pour,le travail,Il y en a déjà eu beaucoup de construits ces dernières années,Plus d'activités pour les enfants. ,,autre,Amis - bouche à oreille,C'est pour faire évoluer les communes
Une communauté de communes,,"Vaste, varié, de beaux paysages, vallonnés et verdoyants",Pas l'emploi ! Bien desservis avec des services. Pas besoin d'aller sur St Omer quand on veut quelque chose. On trouve de tout,"Le centre ville de Lumbres meurt à petit feu, il n'y a rien pour les jeunes. Il y aurait un local ou une MJC ce serait bien pour qu'ils se retrouvent. ",Les prix des maisons et des loyers ! Les maisons sont trop chers et il faut faire des travaux,Pas vraiment,"LEs pharmacies de garde n'ouvrent même pas. Médecins en retraite bientôt, dentiste et vétérinaires sont mieux à l'extérieur (boulogne et st omer)",Mais il faut faire une partie du club pour accéder aux équipements. Rien de dispo pour le loisir libre,Il n'y a pas grand chose mais c'est rural donc suffisant. Il y a des choses à St Omer,Mais c'est dommage que les commerces ferment un par un,,En étant en milieu rural c'est obligatoire,Non pas du tout,Pas pour le travail mais dommage que ça ait été supprimé pour l'école,J'aimerais mais,Durant les beaux jours,Non pas du tout,Marche déjà pour le travail,Non pas du tout,Pas adapté pour le travail (nuit),Il y a déjà des projets de construction à Lumbres et aux alentours,"FAire quelque chose pour les jeunes, type MJC avec des encadrants. Améliorer les calendriers d'activités festives. Parfois 3 activités le même week end et puis rien le week end suivant",,,,"C'est bien, permets de donner la parole aux gens si c'est utilisé. "
autre,Une belle ville,"Coin sympa et calme, on est pas embêté. ",Parce que c'est calme et sympa,,"Trop d'habitants, de bruits",,C'est compliqué d'avoir un RDV beaucoup d'attente,,,,,,Je le fais déjà pour,Le sport le cinéma sur St Omer,Je le fais déjà pour,Les balades,Je le fais déjà pour,Aller chez les amis,Non pas du tout,,Beaucoup de maisons ont été construites à la sortie de Lumbres,"Développer l'offre pour les jeunes (cinéma, fast food...)",,,,C'est sympa
Je ne sais pas,,"Dynamique, accueillant, simple",L'accueil. Pas le temps ni le travail,Loyers plus chers,Loyers moins chers ou personnes qui n'aiment pas la ville,Pas vraiment,"Il manque des ophtalmo, on ne peux pas avoir des rendez vous","Il manque une salle de sport à Lumbres (fitness, muscu). Il faut aller à St Omer ou à Boulogne",Rien à part des bibliothèques,"Tout ferme, il faut aller à St Omer",,"Normal, pas de bus",J'accepterais si,j'habitais en ville,Non pas du tout,trop loin,Je le fais déjà pour,les balades. Pas loin pour les courses,Non pas du tout,pas possible pour destination travail c'est des villages. ,,Salle de muscu et plus de commerces à réouvrir,,,,C'est bien si écouté
